xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time
40000,12000,0,0,3944.03310871154,3448.54574153893,0,41761.2260356422,
40000,12000,0,0,3944.03310871154,3448.54574153893,0,41761.2260356422,
39960,11999.99,55.14862,24.00874,3943.92856695194,3451.71207085144,0,41722.9133965374,
39929.22,11999.99,97.65385,42.25087,3943.91287505275,3452.18707472765,0,41633.7103199198,
39896.3,11999.99,143.0925,61.82523,3943.87424528564,3453.3561253527,0,41556.226429219,
39863.25,11999.99,188.7183,81.49138,3943.839057313,3454.42064946427,0,41475.4184697116,
39829.32,11999.99,235.5382,101.7074,3943.80171860707,3455.54985569062,0,41393.5696130228,
39796.93,11999.99,280.2373,120.9671,3943.77000375213,3456.50867464136,0,41311.8978094212,
39764.02,11999.99,325.6597,140.5618,3943.73392460809,3457.59909166213,0,41232.0275464843,
39730.8,11999.99,371.4879,160.3479,3943.69794942023,3458.68600127176,0,41151.0816947965,
39696.89,11999.99,418.2836,180.5817,3943.66054509217,3459.81570245353,0,41069.0176736105,
39663.2,11999.99,464.7595,200.6771,3943.62498315686,3460.8893936895,0,40986.1177152255,
39630.87,11999.99,509.3749,219.9332,3943.59253111253,3461.86888025201,0,40904.8615789493,
39597.3,11999.99,555.6802,239.9651,3943.5541307527,3463.02752010171,0,40824.4487194986,
39564.21,11999.99,601.3248,259.7032,3943.51924579049,3464.07973231292,0,40742.6532632187,
39531.27,11999.99,646.7763,279.3605,3943.48374084034,3465.15029435132,0,40661.7099331325,
39498.13,11999.99,692.4927,299.1455,3943.44735001958,3466.24720102909,0,40580.7881080641,
39465.46,11999.99,737.5507,318.6377,3943.4125379579,3467.29617317292,0,40500.0348741631,
39431.75,11999.99,784.0422,338.7909,3943.37386098689,3468.46120698009,0,40418.9919770985,
39398.7,11999.99,829.6211,358.5348,3943.33890307663,3469.51385503807,0,40337.0228566283,
39365.8,11999.99,875.0005,378.1948,3943.30296512145,3470.59565847375,0,40256.183633527,
39332.55,11999.99,920.8481,398.0757,3943.26572387518,3471.71631353008,0,40175.2325776221,
39299.58,11999.99,966.3112,417.7883,3943.22980342835,3472.79685728888,0,40094.0358946586,
39266.16,11999.99,1012.4,437.7942,3943.19199115453,3473.93392217125,0,40012.8179726571,
39233.32,11999.99,1057.673,457.4344,3943.1566073226,3474.99760049088,0,39931.4829751685,
39199.96,11999.99,1103.659,477.4077,3943.11852680171,3476.14195574711,0,39850.5359510918,
39165.9,11999.99,1150.617,497.8341,3943.07937692456,3477.31802656706,0,39768.1303209967,
39133.88,11999.99,1194.761,516.9808,3943.04724825612,3478.28286124712,0,39686.6253838679,
39100.41,12000,1240.893,537.0434,3943.00694666545,3479.49272720445,0,39606.7948972813,
39067.62,12000,1286.105,556.6918,3942.97126967217,3480.56338624238,0,39525.4390093748,
39034.72,11999.99,1331.451,576.4091,3942.93390222564,3481.68439808849,0,39444.988306779,
39001.19,11999.99,1377.656,596.5276,3942.89484862656,3482.85558179487,0,39363.7875960848,
38968.35,11999.99,1422.922,616.2227,3942.85887000369,3483.93417714264,0,39282.3027391234,
38935.16,11999.99,1468.66,636.1419,3942.82044835516,3485.08561739321,0,39201.5079708288,
38902.05,11999.99,1514.281,656.0149,3942.78285554603,3486.21182502744,0,39120.2774514571,
38869.27,11999.99,1559.457,675.6912,3942.74590867707,3487.31830266142,0,39039.4795794825,
38836.7,11999.99,1604.343,695.2418,3942.70883481069,3488.4282064098,0,38959.3659009403,
38803.65,11999.99,1649.871,715.0942,3942.66987795817,3489.5940755994,0,38879.117604955,
38770.55,11999.99,1695.474,734.9886,3942.63159088778,3490.73949439976,0,38798.1124465109,
38737.54,11999.99,1740.953,754.8337,3942.59356879866,3491.87658824767,0,38717.1082082625,
38703.5,11999.99,1787.834,775.3315,3942.55230241005,3493.11025862539,0,38635.2558717018,
38670.78,11999.99,1832.897,795.0005,3942.51685199447,3494.16968688119,0,38553.1438547773,
38637.8,11999.99,1878.328,814.8463,3942.47780701418,3495.33614053194,0,38472.7522816638,
38604.86,11999.99,1923.699,834.672,3942.43933694322,3496.48501194239,0,38391.9981977777,
38571.82,11999.99,1969.198,854.5643,3942.40040410468,3497.64729252012,0,38311.213839857,
38537.8,11999.99,2016.031,875.0795,3942.35867743074,3498.89252030698,0,38229.3542956957,
38504.88,11999.99,2061.368,894.9124,3942.32206176068,3499.98483263733,0,38147.0829991095,
38471.39,11999.99,2107.476,915.1085,3942.28142269498,3501.19674338074,0,38065.9016826448,
38438.51,11999.99,2152.753,934.9288,3942.24363393477,3502.323251716,0,37984.4553536301,
38405.14,11999.99,2198.705,955.0687,3942.20300937118,3503.53386504318,0,37903.4415327782,
38372.34,11999.99,2243.855,974.8462,3942.16502806128,3504.66530464174,0,37822.2463954168,
38338.93,11999.99,2289.842,995.0175,3942.12389996634,3505.89004444153,0,37741.3376972638,
38306.19,11999.99,2334.914,1014.774,3942.08592834699,3507.0203823078,0,37660.1506314114,
38272.98,11999.99,2380.618,1034.831,3942.04506206417,3508.23645303424,0,37579.5158413625,
38239.82,11999.99,2426.259,1054.866,3942.00519190701,3509.42244717714,0,37498.2329694828,
38206.81,11999.99,2471.695,1074.814,3941.96555744418,3510.60100529178,0,37417.1573401047,
38173.3,11999.99,2517.799,1095.08,3941.92400922898,3511.83601573136,0,37335.8346225005,
38140.35,11999.99,2563.146,1115.002,3941.88506067294,3512.99332998315,0,37254.3081834896,
38107.43,11999.99,2608.448,1134.913,3941.84492008108,3514.18563745633,0,37173.6359250073,
38074.32,11999.99,2653.999,1154.946,3941.80404213939,3515.39940181456,0,37092.8345397243,
38040.79,11999.99,2700.145,1175.263,3941.76210157031,3516.64425208865,0,37011.3436525315,
38007.82,11999.99,2745.498,1195.22,3941.72275166436,3517.81177938628,0,36929.7513108592,
37975.06,11999.99,2790.56,1215.05,3941.68269164889,3518.99994996382,0,36849.2253616648,
37941.36,11999.99,2836.911,1235.487,3941.63914103617,3520.29116377335,0,36768.1108239591,
37908.62,11999.99,2881.95,1255.322,3941.60047861967,3521.43702478524,0,36686.501660564,
37875.63,11999.99,2927.325,1275.322,3941.55734305891,3522.66880441238,-0.00163249699014142,36606.0881461267,
37842.27,11999.99,2973.209,1295.566,3941.51038898163,3523.91960469543,-0.00495325741793343,36524.9457558623,
37809.38,11999.99,3018.437,1315.513,3941.4611086436,3525.10107525317,-0.0098485967160403,36443.7039352852,
37776.19,11999.99,3064.08,1335.661,3941.40362785078,3526.33941255805,-0.0164420975982588,36362.8858012276,
37742.64,11999.99,3110.211,1356.045,3941.33787345172,3527.58740435378,-0.0247954845009127,36281.270315317,
37709.66,11999.99,3155.572,1376.077,3941.26851148577,3528.75752236332,-0.0313764955427825,36199.6565203728,
37676.65,11999.99,3200.957,1396.13,3941.1931758627,3529.96533063562,-0.03632715081466,36118.8657650467,
37643.39,11999.99,3246.682,1416.348,3941.11393355062,3531.19525695216,-0.0396560117772131,36037.8059443248,
