xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time
39966.28,11999.99,46.541,20.06018,3943.94500889578,3451.21428775119,0,41728.9285833266,
39932.56,11999.99,93.07948,40.12637,3943.90973292049,3452.28218070562,0,41646.290388723,
39892.56,11999.99,148.222,64.14951,3943.8578375588,3453.85254368982,0,41557.6383889757,
39841.09,11999.99,219.021,95.56769,3943.78744633434,3455.98137715049,0,41448.625122946,
39809.31,11999.99,262.8993,114.4516,3943.7924760804,3455.82930959317,0,41341.3400585128,
39776.72,11999.99,307.8824,133.8427,3943.75619346096,3456.92610533409,0,41262.6705059091,
39743.02,11999.99,354.3736,153.9262,3943.71836626926,3458.06919674855,0,41181.7424946722,
39710.5,11999.99,399.2652,173.2895,3943.68561124143,3459.05868766918,0,41100.2872373115,
39675.58,11999.99,447.4234,194.1484,3943.64421820686,3460.30869038363,0,41018.2894523454,
39640.7,11999.99,495.5454,214.9984,3943.6072677185,3461.42412809535,0,40932.7563066942,
39606.17,11999.99,543.1659,235.6268,3943.57114688106,3462.5141498546,0,40847.6085537106,
39573.43,11999.99,588.3322,255.1435,3943.53905859466,3463.48217360508,0,40764.7175648402,
39541.48,11999.99,632.4186,274.1764,3943.5056169701,3464.49071673842,0,40685.2483803581,
39508.33,11999.99,678.1548,293.9665,3943.46735254612,3465.64432277705,0,40605.8018650492,
39474.89,11999.99,724.2748,313.9388,3943.43049166867,3466.75522651683,0,40524.2859186594,
39442.11,11999.99,769.4843,333.5032,3943.39587578461,3467.79812504962,0,40442.9842073777,
39409.31,11999.99,814.7324,353.0922,3943.35982231431,3468.88397867682,0,40362.6432815373,
39375.09,11999.99,861.9136,373.5716,3943.31986756168,3470.08690652269,0,40280.9089073123,
39343.8,11999.99,905.0781,392.2269,3943.29056529679,3470.96883409221,0,40199.8684564154,
39309.61,11999.99,952.2173,412.7019,3943.24757982766,3472.26216003923,0,40120.4227691249,
39275.84,11999.99,998.7816,432.9213,3943.21120898719,3473.35606633806,0,40037.0465849405,
39244.84,11999.99,1041.536,451.4108,3943.18161832101,3474.24577742792,0,39956.9532235508,
39213.11,11999.99,1085.295,470.3635,3943.14456962589,3475.35938806122,0,39880.306514798,
39179.87,11999.99,1131.122,490.2668,3943.10462569208,3476.55959678816,0,39801.1187394447,
39146.95,11999.99,1176.506,509.9754,3943.06839618347,3477.64781408361,0,39719.983855111,
39113.57,11999.99,1222.522,529.9802,3943.03014555161,3478.79634454824,0,39638.8846403659,
39075.39,11999.99,1275.099,553.0209,3942.97923949162,3480.32424418208,0,39552.507485143,
39045.33,11999.99,1316.558,570.963,3942.96066463715,3480.88157323563,0,39466.738044487,
39012.16,11999.99,1362.278,590.8549,3942.91714051922,3482.18711876863,0,39390.1105408768,
38974.77,11999.99,1413.755,613.4105,3942.86765272509,3483.6709147766,0,39304.8128701233,
38944.65,11999.99,1455.298,631.4109,3942.84709950056,3484.28696501881,0,39220.1756713825,
38910.2,11999.99,1502.748,652.1207,3942.7997319595,3485.70628854031,0,39142.2376168241,
38881.57,11999.99,1542.237,669.2023,3942.7773320198,3486.37726638486,0,39063.4174236038,
38848.43,11999.99,1587.909,689.1087,3942.73054012823,3487.77844644041,0,38988.9537912273,
38815.33,11999.99,1633.505,708.9882,3942.69263056527,3488.91320456917,0,38907.8035758047,
38780.48,11999.99,1681.509,729.9839,3942.64944652115,3490.20536465608,0,38825.0486737369,
38745.78,11999.99,1729.296,750.8882,3942.61015813908,3491.38051384266,0,38739.8154673298,
38712.4,11999.99,1775.272,770.9655,3942.57426090034,3492.45386135224,0,38656.0798863984,
38678.44,11999.99,1822.047,791.4182,3942.53386710206,3493.66123682887,0,38573.757951354,
38648.69,11999.99,1863.05,809.2334,3942.50681065363,3494.46970782316,0,38494.595648893,
38615.72,11999.99,1908.463,829.0738,3942.46183906603,3495.81305686151,0,38418.6385883623,
38582.68,11999.99,1953.975,848.9678,3942.42298977608,3496.97308203537,0,38337.8041245339,
38549.74,11999.99,1999.328,868.7955,3942.384502588,3498.12188926516,0,38256.9672684351,
38515.79,11999.99,2046.073,889.2734,3942.34267535227,3499.36993641023,0,38175.3286225105,
38483.7,11999.99,2090.267,908.5834,3942.30832347728,3500.39457665937,0,38093.9489865738,
38450.53,11999.99,2135.946,928.5847,3942.26682545058,3501.63194300275,0,38014.3116727937,
38414.96,11999.99,2184.885,950.1036,3942.22037492474,3503.01642575126,0,37930.7699689369,
38381.96,11999.99,2230.323,970.0101,3942.18639028606,3504.02898535052,0,37846.113919532,
38348.93,11999.99,2275.789,989.9365,3942.14686949795,3505.20609888405,0,37765.2561317919,
38315.38,11999.99,2321.969,1010.201,3942.10571964465,3506.43128428436,0,37683.8654463898,
38282.87,11999.99,2366.728,1029.817,3942.06866324289,3507.53420043538,0,37602.6856358022,
38248.55,11999.99,2413.955,1050.582,3942.0238968733,3508.86609495101,0,37521.3255810675,
38215.36,11999.99,2459.637,1070.64,3941.98622450518,3509.98650880474,0,37438.3508409232,
38184.6,11999.99,2501.99,1089.171,3941.95338374482,3510.96291365542,0,37359.3836816272,
38152.35,11999.99,2546.378,1108.646,3941.91085085156,3512.22704834808,0,37282.6221750744,
38119.77,11999.99,2591.213,1128.335,3941.87032362387,3513.43111907528,0,37203.3267213929,
38086.11,11999.99,2637.524,1148.716,3941.82707279264,3514.71562153476,0,37122.5062352791,
38053.7,11999.99,2682.115,1168.308,3941.78985171967,3515.82064461595,0,37041.274457394,
38019.66,11999.99,2728.937,1188.942,3941.74482028572,3517.15704574049,0,36960.3550200796,
37987.42,11999.99,2773.307,1208.447,3941.70868020147,3518.22918458924,0,36878.7098403352,
37954.61,11999.99,2818.434,1228.31,3941.66686594222,3519.46921834973,0,36799.208978036,
37919.14,11999.99,2867.21,1249.881,3941.61785186697,3520.92217292581,0,36716.3250392205,
37887.76,11999.99,2910.38,1268.855,3941.58726131415,3521.82866237121,0,36633.3716088893,
37854.29,11999.99,2956.415,1289.165,3941.54112902242,3523.1952277208,0,36554.5365390861,
37819.43,11999.99,3004.347,1310.367,3941.4950677661,3524.5591228024,0,36471.2407929867,
37784.78,11999.99,3051.982,1331.438,3941.45259452065,3525.81627459158,0,36386.0741746299,
37751.74,11999.99,3097.419,1351.495,3941.41456372839,3526.94152847672,0,36302.7678660107,
37718.09,11999.99,3143.684,1371.945,3941.37095231742,3528.23142849926,0,36221.2775004587,
37687.02,11999.99,3186.42,1390.764,3941.33804595129,3529.24524528946,0.00144799575167134,36141.3475763184,
37654.74,11999.99,3230.799,1410.353,3941.29838956808,3530.5444870015,0.00451449889439594,36064.119284967,
37623.92,11999.99,3273.181,1429.024,3941.26989132346,3531.63576397558,0.00886684431360443,35986.4890472813,
37590.2,11999.99,3319.527,1449.544,3941.234815123,3533.10249504912,0.0153344352876051,35908.26301938,
37557.19,11999.99,3364.902,1469.62,3941.21561240239,3534.32307914262,0.023300635392807,35826.3826116559,
