xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time
40000,12000,0,0,3944.03310871154,3448.54574153893,0,41761.2260356422,
40000,12000,0,0,3944.03310871154,3448.54574153893,0,41761.2260356422,
39960,11999.99,55.14862,24.00874,3943.92856695194,3451.71207085144,0,41722.9133965374,
39933.06,11999.99,92.37906,39.88897,3943.92295068666,3451.88208683145,0,41637.3871868117,
39900.05,11999.99,137.9371,59.51683,3943.87731652756,3453.26319598197,0,41565.5526608668,
39865.43,11999.99,185.7114,80.15989,3943.83816199351,3454.44773054659,0,41483.1158612245,
39828.61,11999.99,236.4995,102.1902,3943.79608716448,3455.72012895172,0,41396.1577040789,
39797.67,11999.99,279.2201,120.5551,3943.77365658646,3456.39825484743,0,41311.5458795472,
39764.98,11999.99,324.3317,140.0085,3943.73554483901,3457.55013143159,0,41234.0440674201,
39729.82,11999.99,372.8335,161.0138,3943.69394738703,3458.80689118139,0,41151.5693735154,
39698.46,11999.99,416.1095,179.6493,3943.66706335946,3459.61886336214,0,41069.0484615791,
39660.61,11999.99,468.2998,202.3654,3943.61555611465,3461.1739566969,0,40985.9878405157,
39628.45,11999.99,512.6736,221.5122,3943.59157719068,3461.89766760027,0,40898.6738549288,
39595.43,11999.99,558.2265,241.2016,3943.55432161608,3463.02176227549,0,40819.0498506311,
39565.58,11999.99,599.4409,258.9322,3943.52711562798,3463.84238939667,0,40741.1649956115,
39533.78,11999.99,643.3128,277.871,3943.48872706991,3464.99996852781,0,40666.1437792428,
39502.06,11999.99,687.0796,296.7687,3943.45403475555,3466.04573484789,0,40588.3031799952,
39468.87,11999.99,732.8608,316.5897,3943.41511201097,3467.21862229719,0,40509.1673087806,
39435.4,11999.99,779.0237,336.5921,3943.3781058904,3468.333361755,0,40427.5677139133,
39403.02,11999.99,823.684,355.9166,3943.34453427331,3469.34431223193,0,40346.5995407597,
39370.05,11999.99,869.16,375.6198,3943.30714412745,3470.46988065197,0,40266.6935193544,
39336.99,11999.99,914.746,395.3804,3943.27057021902,3471.57050033949,0,40185.8185513166,
39303.94,11999.99,960.3251,415.1451,3943.23406582573,3472.66865643228,0,40104.824975472,
39268.49,11999.99,1009.176,436.4174,3943.19084568931,3473.96836161262,0,40021.5501644512,
39234.87,11999.99,1055.538,456.5549,3943.15720851032,3474.97953100849,0,39936.4454025803,
39200.62,11999.99,1102.745,477.0877,3943.11819854958,3476.15181828048,0,39853.4596107275,
39168.09,11999.99,1147.596,496.549,3943.08509856,3477.14617392093,0,39771.1936678529,
39135.03,11999.99,1193.174,516.3501,3943.04703691206,3478.28920703295,0,39690.9843475,
39102.07,11999.99,1238.6,536.0891,3943.01022065884,3479.3944577125,0,39610.0856222541,
39069.08,11999.99,1284.087,555.8632,3942.97297083788,3480.51234261162,0,39529.3066012409,
39035.71,11999.99,1330.075,575.8741,3942.9346792839,3481.66109050933,0,39448.1055059055,
39002.95,11999.99,1375.229,595.5106,3942.89871637691,3482.73961008643,0,39366.9388070515,
38969.75,11999.99,1420.981,615.4282,3942.86022279028,3483.89362870543,0,39286.2608040195,
38936.46,11999.99,1466.858,635.4106,3942.8222164573,3485.03263890247,0,39204.8394216656,
38903.64,11999.99,1512.09,655.1047,3942.78563734248,3486.12850112933,0,39123.7295469515,
38870.02,12000,1558.415,675.3079,3942.74573475434,3487.32351037773,0,39042.5560535194,
38836.89,12000,1604.05,695.202,3942.70876220146,3488.43037978766,0,38960.6683483977,
38804.16,11999.99,1649.15,714.8577,3942.67180155425,3489.53651754646,0,38879.9008133266,
38770.94,11999.99,1694.923,734.8299,3942.6325380082,3490.7111646292,0,38799.2455777985,
38737.69,11999.99,1740.723,754.8224,3942.59409792555,3491.86076682277,0,38717.8343531303,
38705.01,11999.99,1785.748,774.466,3942.55723086664,3492.96294552192,0,38636.9313825148,
38670.83,11999.99,1832.818,795.0588,3942.51478582067,3494.23142345876,0,38555.4383037579,
38635.68,11999.99,1881.211,816.2717,3942.47243733845,3495.49652494925,0,38470.7878393831,
38604.33,11999.99,1924.404,835.0977,3942.44305152057,3496.37409729881,0,38388.3229308842,
38572.68,11999.99,1968.009,854.1192,3942.40493511881,3497.51204723949,0,38311.2393266829,
38539.52,11999.99,2013.678,874.0972,3942.36289441478,3498.76669654333,0,38232.2603390085,
38505.73,11999.99,2060.191,894.4719,3942.32199707149,3499.98676211123,0,38150.4351707493,
38472.87,11999.99,2105.442,914.2726,3942.28498148979,3501.09063333675,0,38068.5698495019,
38440.04,11999.99,2150.656,934.0637,3942.24603163634,3502.25178613876,0,37988.1021111324,
38406.14,11999.99,2197.318,954.5312,3942.20377802921,3503.51096316231,0,37906.6603814542,
38375.11,11999.99,2240.054,973.1979,3942.17214057106,3504.45345714078,0,37826.3776529388,
38342.2,11999.99,2285.364,993.056,3942.12886900143,3505.74209751961,0,37748.5744862988,
38309.36,11999.99,2330.562,1012.87,3942.08959936617,3506.9111205569,0,37668.0387378881,
38276.58,11999.99,2375.689,1032.66,3942.05019945989,3508.08360273624,0,37587.6698671486,
38243.34,11999.99,2421.443,1052.746,3942.00920869659,3509.30298152664,0,37506.9374470691,
38207.66,11999.99,2470.512,1074.38,3941.96174469828,3510.7143575989,0,37423.2002218539,
38173.59,11999.99,2517.404,1095.011,3941.92413850748,3511.83217368074,0,37337.3616789192,
38139.66,11999.99,2564.078,1115.548,3941.88346584745,3513.04070980259,0,37254.0470969839,
38109.37,11999.99,2605.788,1133.802,3941.85339449815,3513.93395548207,0,37174.4375618914,
38074.45,11999.99,2653.824,1154.99,3941.8014522057,3515.47628806185,0,37095.8179592067,
38042.77,11999.99,2697.414,1174.123,3941.76915119474,3516.43504310951,0,37013.3972891274,
38010.01,11999.99,2742.488,1193.951,3941.72645236432,3517.70199582385,0,36934.7921745776,
37973.7,11999.99,2792.413,1216.046,3941.67500337981,3519.22793308691,0,36851.1682573186,
37942.95,11999.99,2834.724,1234.613,3941.64704812567,3520.01662128441,-0.00141783537458454,36767.5664240448,
37908.21,11999.99,2882.505,1255.723,3941.59136877158,3521.53036155596,-0.00483145256985046,36688.4518008509,
37875.64,11999.99,2927.302,1275.455,3941.54656057989,3522.58663305774,-0.0096216524874923,36605.4476360384,
37842.38,11999.99,2973.042,1295.631,3941.48866417577,3523.84574369808,-0.0161727532620299,36525.0392280715,
37809.02,11999.99,3018.928,1315.884,3941.42423321834,3525.06615244425,-0.0244153760709149,36443.4970592687,
37776.38,11999.99,3063.828,1335.686,3941.35325648271,3526.20840579789,-0.0340791633055414,36362.4823316025,
37742.94,11999.99,3109.804,1355.996,3941.26744550466,3527.46394534874,-0.0456537489453832,36281.7898542344,
37709.7,11999.99,3155.525,1376.196,3941.17171245527,3528.64308662154,-0.0588230035565842,36200.0977440317,
37676.75,11999.99,3200.844,1396.215,3941.06286248513,3529.79775871672,-0.0735057851092909,36118.9655372431,
37643.88,11999.99,3246.051,1416.191,3940.93850414561,3530.95415354076,-0.0897751268877638,36038.3477972333,
