xplane;yplane;xrocket;yrocket;vc;xnc;xnt;rtm;time
39885.22;11999.99;156.06;76.11083;3943.732262;3457.649346;0;41651.30128;
39770.45;11999.99;312.1064;152.2523;3943.703286;3459.095877;0.019760885;41370.01796;
39730.44;11999.99;367.247;176.28;3943.877013;3454.532891;0.024247548;41160.34628;
39711.63;11999.99;393.272;187.246;3943.91681;3454.070894;0.025826493;41082.61118;
39678.52;11999.99;438.9695;206.9546;3943.881368;3455.919913;0.02696187;41022.81825;
39644.38;11999.99;486.0681;227.3081;3943.868025;3457.097678;0.02696187;40940.68741;
39611.23;12000;531.8082;247.0506;3943.859146;3458.139924;0.02696187;40857.97638;
39577.77;12000;577.9631;266.9891;3943.847502;3459.265441;0.02696187;40776.45033;
39544.3;12000;624.1312;286.9411;3943.8363;3460.377123;0.02696187;40694.4593;
39511.49;12000;669.4021;306.4921;3943.826791;3461.437306;0.02696187;40613.07734;
39478.66;12000;714.6852;326.0559;3943.815925;3462.538107;0.02696187;40532.65876;
39445.15;12000;760.8981;346.0504;3943.803134;3463.696538;0.02696187;40451.57364;
39411.54;12000;807.2515;366.1164;3943.791235;3464.827504;0.02696187;40369.37224;
39377.98;12000;853.5168;386.1497;3943.77961;3465.94976;0.02696187;40287.07426;
39345.02;12000;898.9719;405.821;3943.769381;3467.029528;0.02696187;40205.43452;
39311.49;12000;945.1949;425.8502;3943.756378;3468.192539;0.02696187;40124.13476;
39278.05;12000;991.2919;445.8292;3943.744604;3469.317974;0.02696187;40042.08431;
39244.97;12000;1036.89;465.5878;3943.733551;3470.421266;0.02696187;39960.51426;
39211.54;12000;1082.974;485.5761;3943.720712;3471.577932;0.02696187;39879.14445;
39178.46;12000;1128.561;505.345;3943.709463;3472.686282;0.02696187;39797.58748;
39145.28;12000;1174.295;525.1883;3943.697109;3473.827457;0.02696187;39716.46473;
39111.54;12000;1220.778;545.3814;3943.683331;3475.010959;0.02696187;39634.65472;
39078.55;12000;1266.239;565.1149;3943.672596;3476.102484;0.02696187;39552.73755;
39045.19;12000;1312.203;585.0864;3943.65927;3477.271531;0.02696187;39471.57792;
39011.52;12000;1358.589;605.2585;3943.645686;3478.447752;0.02696187;39389.56987;
38978.04;12000;1404.695;625.31;3943.633176;3479.591237;0.02696187;39307.29339;
38944.81;12000;1450.471;645.2184;3943.620836;3480.729217;0.02696187;39225.54829;
38911.73;12000;1496.031;665.0351;3943.608362;3481.870768;0.02696187;39144.30899;
38873.55;12000;1548.569;688.0825;3943.580928;3483.46015;0.02696187;39058.41807;
38843.95;12000;1589.351;705.7362;3943.588249;3484.006999;0.02696187;38973.13067;
38811.69;12000;1633.781;725.0582;3943.57065;3485.301283;0.02696187;38898.1094;
38778;12000;1680.158;745.281;3943.554062;3486.564347;0.02696187;38817.74679;
38744.35;12000;1726.484;765.488;3943.541891;3487.74297;0.028657743;38735.29394;
38711.32;12000;1771.961;785.3126;3943.534373;3488.875976;0.031956482;38653.48539;
38678.14;12000;1817.625;805.2311;3943.529678;3490.06531;0.03691701;38572.46695;
38644.54;12000;1863.869;825.4244;3943.530118;3491.291539;0.043631725;38490.83304;
38611.74;12000;1909.001;845.1143;3943.541199;3492.430973;0.051794205;38409.3385;
38577.92;12000;1955.529;865.4544;3943.556885;3493.720149;0.061923134;38328.07385;
38544.43;12000;2001.609;885.596;3943.586286;3494.931049;0.073633385;38245.59436;
38511.05;12000;2047.523;905.6703;3943.627552;3496.165479;0.086969589;38163.71329;
38478;12000;2092.981;925.5425;3943.68312;3497.393087;0.101807137;38082.32458;
38444.73;12000;2138.731;945.5577;3943.752548;3498.676759;0.118397375;38001.22248;
38411.21;12000;2184.802;965.7293;3943.838545;3499.986215;0.136784972;37919.56855;
38377.76;12000;2230.788;985.8707;3943.943539;3501.295336;0.156812974;37837.61535;
38344.22;12000;2276.875;1006.067;3944.068099;3502.636051;0.178567335;37755.67384;
38310.05;12000;2323.812;1026.667;3944.212832;3504.050868;0.202471875;37673.01321;
38277.49;12000;2368.528;1046.25;3944.38602;3505.305013;0.226821905;37590.9683;
38241.23;11999.99;2418.288;1068.181;3944.571413;3507.01823;0.255901688;37507.79864;
38210.38;11999.99;2460.649;1086.698;3944.804755;3508.037279;0.282053451;37424.29837;
38177.17;11999.99;2506.203;1106.697;3945.047114;3509.635506;0.311834764;37346.61825;
38143.58;11999.99;2552.264;1126.939;3945.322258;3511.151236;0.343632247;37265.08369;
38109.8;11999.99;2598.552;1147.297;3945.628463;3512.690387;0.377272434;37182.81874;
38076.46;11999.99;2644.233;1167.384;3945.966756;3514.209923;0.410470858;37100.71512;
38043.29;11999.99;2689.664;1187.367;3946.334917;3515.771774;0.443489897;37019.43261;
38009.66;11999.99;2735.679;1207.63;3946.731983;3517.415879;0.47693821;36937.99033;
37976.24;11999.99;2781.386;1227.763;3947.161011;3519.043667;0.510165192;36856.10422;
37942.81;11999.99;2827.081;1247.9;3947.619981;3520.716281;0.543385036;36774.54121;
37908.94;11999.99;2873.35;1268.317;3948.108364;3522.460362;0.577028795;36692.56435;
37875.23;11999.99;2919.365;1288.627;3948.628769;3524.192116;0.610489602;36610.11089;
37841.54;11999.99;2965.312;1308.917;3949.179464;3525.96313;0.643904;36527.95833;
37807.88;11999.99;3011.189;1329.188;3949.760674;3527.764754;0.677270207;36445.89995;
37774.3;11999.99;3056.925;1349.405;3950.372461;3529.592187;0.710536457;36363.98803;
37741;11999.99;3102.238;1369.438;3951.015095;3531.428928;0.743495702;36282.50114;
37703.46;11999.99;3153.231;1392.148;3951.677569;3533.71424;0.780620928;36197.42211;
37673.45;11999.99;3194.028;1410.112;3952.400033;3535.043915;0.810283446;36113.31757;
37639.52;11999.99;3240.072;1430.526;3953.12487;3537.264877;0.843788875;36036.60769;
37605.57;11999.99;3286.083;1450.937;3953.888263;3539.264895;0.877272883;35954.15787;
37571.84;11999.99;3331.776;1471.215;3954.682631;3541.277274;0.910529317;35871.93137;
37538.16;11999.99;3377.344;1491.448;3955.507007;3543.328634;0.943696504;35790.1046;
37504.12;11999.99;3423.339;1511.895;3956.360613;3545.449335;0.977180512;35708.07448;
37470.14;11999.99;3469.219;1532.303;3957.245531;3547.57406;1.010584199;35625.61707;
37436.43;11999.99;3514.667;1552.524;3958.161405;3549.706573;1.043675528;35543.5526;
37402.52;11999.99;3560.345;1572.867;3959.106262;3551.90995;1.0769391;35461.75491;
37368.54;11999.99;3606.053;1593.24;3960.081633;3554.137311;1.110228555;35379.6408;
37334.64;11999.99;3651.596;1613.551;3961.087575;3556.384416;1.143401099;35297.5687;
37300.32;11999.99;3697.649;1634.118;3962.122464;3558.709079;1.176952043;35215.2634;
37265.88;11999.99;3743.803;1654.748;3963.188357;3561.050434;1.21058063;35132.283;
37231.53;11999.99;3789.771;1675.308;3964.285233;3563.407221;1.244078026;35049.27622;
37197.7;11999.99;3834.98;1695.526;3965.413594;3565.75123;1.277022102;34966.96874;
37162.96;11999.99;3881.335;1716.302;3966.568394;3568.252765;1.310812225;34884.61721;
37129.18;11999.99;3926.366;1736.47;3967.758165;3570.630866;1.343634927;34801.91491;
37094.61;11999.99;3972.373;1757.116;3968.973611;3573.183935;1.377177839;34719.90609;
37060.15;11999.99;4018.157;1777.674;3970.221392;3575.704312;1.410562785;34636.9355;
37023.53;11999.99;4066.718;1799.571;3971.493511;3578.480712;1.445991454;34552.13885;
36991.28;11999.99;4109.455;1818.725;3972.813757;3580.705022;1.477148834;34468.4665;
36957.02;11999.99;4154.762;1839.112;3974.147455;3583.463346;1.510197326;34389.25135;
36921.67;11999.99;4201.432;1860.165;3975.512398;3586.226239;1.544251613;34306.1732;
36887.79;11999.99;4246.09;1880.281;3976.9144;3588.797475;1.576833352;34223.00741;
36852.31;11999.99;4292.778;1901.381;3978.338246;3591.667031;1.610910843;34140.502;
36818.13;11999.99;4337.687;1921.653;3979.79986;3594.325512;1.643686245;34057.01183;
36782.77;11999.99;4384.041;1942.634;3981.284956;3597.227311;1.677529021;33974.3475;
36748.45;11999.99;4428.972;1962.956;3982.805935;3599.975186;1.710331197;33891.07819;
36713;11999.99;4475.283;1983.957;3984.351048;3602.943929;1.744153447;33808.28837;
36678.38;11999.99;4520.429;2004.422;3985.931399;3605.78121;1.777124296;33724.77479;
36643.39;11999.99;4565.98;2025.1;3987.53848;3608.749801;1.810397688;33642.17245;
36608.01;11999.99;4611.94;2045.995;3989.175203;3611.764751;1.843978084;33558.75415;
36572.56;11999.99;4657.897;2066.911;3990.84278;3614.792025;1.877562049;33474.81543;
36537.69;11999.99;4703.026;2087.451;3992.542273;3617.789441;1.910541821;33391.42558;
36502.56;11999.99;4748.404;2108.132;3994.269285;3620.889233;1.943710792;33308.68607;
36467.09;11999.99;4794.111;2128.993;3996.025653;3624.038185;1.977127868;33225.35233;
36431.99;11999.98;4839.263;2149.609;3997.81379;3627.158711;2.010142445;33141.99742;
36396.2;11999.98;4885.202;2170.627;3999.628577;3630.412576;2.043742473;33058.58471;
36360.55;11999.98;4930.856;2191.53;4001.475444;3633.634753;2.077138129;32974.4443;
36322.67;11999.98;4979.253;2213.787;4003.34503;3637.139782;2.112562335;32888.47343;
36289.46;11999.98;5021.625;2233.155;4005.265729;3640.018441;2.143553718;32803.93965;
36253.59;11999.98;5067.264;2254.12;4007.195166;3643.555293;2.176956515;32723.48547;
36217.53;11999.98;5113.042;2275.178;4009.159881;3646.953451;2.210469081;32639.25444;
36181.75;11999.98;5158.362;2296.038;4011.155796;3650.341945;2.243650547;32555.13059;
36145.07;11999.98;5204.717;2317.425;4013.177747;3653.883582;2.277601312;32470.63849;
36109.07;11999.98;5250.093;2338.361;4015.234264;3657.317756;2.31083722;32385.66625;
36072.95;11999.98;5295.534;2359.354;4017.318261;3660.853511;2.344127565;32301.63195;
36037.19;11999.98;5340.409;2380.096;4019.433371;3664.373596;2.377006489;32217.87188;
36000.45;11999.98;5386.391;2401.404;4021.573603;3668.062881;2.410710044;32133.79363;
35964.5;11999.98;5431.288;2422.208;4023.748678;3671.627636;2.443619314;32049.24025;
35928.01;11999.98;5476.751;2443.314;4025.949237;3675.346521;2.47695339;31965.35308;
35890.64;11999.98;5523.17;2464.916;4028.177733;3679.155152;2.511000539;31880.00895;
35854.38;11999.99;5568.127;2485.827;4030.442165;3682.813025;2.543974958;31794.64755;
35816.98;11999.98;5614.346;2507.386;4032.729304;3686.713298;2.577889129;31709.81957;
35780.93;11999.98;5658.817;2528.112;4035.053733;3690.415858;2.610519058;31624.86373;
35744.27;11999.98;5703.893;2549.163;4037.401657;3694.321397;2.64360325;31541.26067;
35706.33;11999.98;5750.431;2570.964;4039.775679;3698.362872;2.677776235;31455.74654;
35669.37;11999.98;5795.638;2592.136;4042.186565;3702.228944;2.710972875;31369.56239;
35631.98;11999.98;5841.255;2613.539;4044.622638;3706.257538;2.744480088;31284.42081;
35592.2;11999.98;5889.635;2636.344;4047.080668;3710.560256;2.780039947;31196.5411;
35557.95;11999.98;5931.216;2655.813;4049.5962;3714.08246;2.810577964;31110.87962;
35520.09;11999.98;5977.033;2677.403;4052.111297;3718.482858;2.844257419;31029.2563;
