xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time
39967.53,11999.99,44.8353,19.28668,3943.94826768417,3451.11561818542,0,41730.1211077777,
39935.05,11999.99,89.66826,38.57898,3943.91398522403,3452.1534714235,0,41650.5314795129,
39895.05,11999.99,144.811,62.60171,3943.8598169063,3453.79266226329,0,41563.7355100079,
39870.35,11999.99,178.9574,77.12405,3943.86007952329,3453.78471719804,0,41480.35625967,
39837.12,11999.99,224.8265,96.90642,3943.80974567017,3455.30713254865,0,41411.6477505517,
39803.74,11999.99,270.8877,116.7832,3943.77412532673,3456.3840852478,0,41330.0617260139,
39770.56,11999.99,316.6783,136.544,3943.7391951451,3457.43982356005,0,41248.4519081977,
39736.96,11999.99,363.0307,156.5674,3943.70271293725,3458.54210324392,0,41166.7404203922,
39703.66,11999.99,408.9792,176.4142,3943.66768658402,3459.6000425569,0,41084.6962544837,
39670,11999.99,455.4232,196.4938,3943.63104749189,3460.7063235487,0,41002.7424390106,
39637.01,11999.99,500.9443,216.1604,3943.59679756702,3461.74012453078,0,40920.8902309607,
39602.87,11999.99,548.0414,236.5526,3943.55809772999,3462.90784514327,0,40838.9394774183,
39570.36,11999.99,592.8832,255.9244,3943.5259039557,3463.87893281169,0,40756.8429316393,
39536.85,11999.99,639.1138,275.9357,3943.48777598744,3465.02864248563,0,40676.2303867363,
39503.45,11999.99,685.1792,295.8788,3943.45179030108,3466.11338015199,0,40594.2178714348,
39470.2,11999.99,731.0548,315.7427,3943.41584867094,3467.19642792038,0,40512.5121827111,
39437.05,11999.99,776.7713,335.5411,3943.37986799359,3468.28029040557,0,40431.1224349328,
39403.4,11999.99,823.1691,355.6579,3943.34220527456,3469.4144342772,0,40349.425170458,
39368.96,11999.99,870.6536,376.2796,3943.30322284437,3470.58790178742,0,40266.2246144589,
39336.59,11999.99,915.3029,395.6132,3943.2713536658,3471.54692796073,0,40183.8157172281,
39303.83,11999.99,960.4855,415.1971,3943.23433686718,3472.66050410116,0,40104.1197991138,
39269.37,11999.99,1007.983,435.8473,3943.19329972143,3473.89457848477,0,40022.2230297415,
39236.73,11999.99,1053,455.3701,3943.16044372059,3474.88229081266,0,39939.5317406646,
39203.42,11999.99,1098.914,475.3098,3943.12215666039,3476.03289246037,0,39858.9129406779,
39170.77,11999.99,1143.929,494.8458,3943.08686963833,3477.09297671375,0,39777.9438985665,
39137.13,11999.99,1190.297,515.0083,3943.04744377294,3478.27699067666,0,39697.003297051,
39103.62,11999.99,1236.487,535.097,3943.01020578195,3479.39490425185,0,39614.7088525455,
39070.22,11999.99,1282.529,555.1248,3942.97291535688,3480.51400733655,0,39532.7082647331,
39037.19,11999.99,1328.056,574.9247,3942.93636983024,3481.6103826116,0,39451.2278878785,
39003.74,11999.99,1374.156,594.9941,3942.8978001719,3482.76708220691,0,39369.9025037767,
38970.41,11999.99,1420.082,614.9914,3942.86033110867,3483.89038194704,0,39288.0710844295,
38935.58,11999.99,1468.067,635.9437,3942.81820125019,3485.15294723277,0,39204.9855819265,
38903.62,11999.99,1512.121,655.0986,3942.78715744723,3486.08296812283,0,39122.3999005319,
38870.42,11999.99,1557.869,675.0367,3942.74676072502,3487.29278992391,0,39042.9132441931,
38836.86,11999.99,1604.11,695.2092,3942.70767816663,3488.46282751957,0,38961.2308978564,
38803.7,11999.99,1649.788,715.1304,3942.67038953177,3489.57876833715,0,38879.4000147558,
38770.42,11999.99,1695.641,735.1398,3942.6317958053,3490.73336503474,0,38798.0562385156,
38736.2,11999.99,1742.766,755.7424,3942.59067101049,3491.96323366204,0,38715.6285497092,
38703.31,11999.99,1788.073,775.5158,3942.55516484917,3493.024700237,0,38633.0824504054,
38669.86,11999.99,1834.145,795.6491,3942.51524070659,3494.21783172074,0,38551.9798889688,
38637.18,11999.99,1879.159,815.3032,3942.47859441992,3495.31262120384,0,38470.7790501818,
38603.58,11999.99,1925.435,835.5455,3942.43757057911,3496.53775300079,0,38389.8460970866,
38570.43,11999.99,1971.093,855.5107,3942.39963270548,3497.67031729436,0,38307.9644748668,
38537.09,11999.99,2016.997,875.5972,3942.36013685749,3498.84897538123,0,38226.5832447522,
38503.85,11999.99,2062.77,895.631,3942.3211833598,3500.01103246135,0,38145.0218583904,
38470.35,11999.99,2108.895,915.8354,3942.28115991139,3501.20457847481,0,38063.3502543687,
38437.08,11999.99,2154.702,935.9003,3942.24224039754,3502.36478658641,0,37981.5141714169,
38403.55,11999.99,2200.858,956.1346,3942.20197008574,3503.56482991204,0,37899.7791274163,
38370.67,11999.99,2246.134,975.9702,3942.16403072302,3504.69500946226,0,37818.2731527543,
38336.82,11999.99,2292.723,996.4206,3942.12177675428,3505.95325843771,0,37736.8068591893,
38304.01,11999.99,2337.884,1016.218,3942.08453968818,3507.0617124671,0,37654.9005611647,
38270.22,11999.99,2384.396,1036.649,3942.04206307198,3508.32567721542,0,37573.6052557161,
38236.93,11999.99,2430.202,1056.761,3942.00306322898,3509.48575565125,0,37491.3234951725,
38203.47,11999.99,2476.251,1076.993,3941.96231890575,3510.69728675588,0,37409.6394532296,
38170.05,11999.99,2522.234,1097.203,3941.92197806259,3511.89637973388,0,37327.7312549717,
38136.5,11999.98,2568.414,1117.512,3941.8794500554,3513.11205940575,-0.00168957696798042,37245.7554769306,
38103.58,11999.98,2613.71,1137.42,3941.83601352397,3514.26148689728,-0.00497203887062661,37164.1789947862,
38070.49,11999.98,2659.24,1157.444,3941.78599715616,3515.46633458907,-0.00991423156786189,37083.3992438312,
38036.57,11999.98,2705.902,1178.001,3941.72741656532,3516.73334761,-0.016706277268648,37001.5687901565,
38003.4,11999.98,2751.531,1198.086,3941.66517704537,3517.87491776175,-0.0249975931643683,36919.2210243559,
37970.49,11999.98,2796.818,1218.021,3941.59287625958,3519.03692647718,-0.0348520747236565,36838.2383169906,
37936.71,11999.98,2843.281,1238.509,3941.50637157823,3520.28674118678,-0.0466766612844479,36756.8055016169,
37903.08,11999.98,2889.548,1258.915,3941.40964786519,3521.46021997301,-0.0601493828133615,36674.2227425496,
37869.02,11999.98,2936.388,1279.595,3941.29702499149,3522.67185078583,-0.0755310806837456,36591.4520050967,
37836.75,11999.98,2980.796,1299.153,3941.17588594538,3523.68205431853,-0.0916733110027787,36509.7544169615,
37803.43,11999.98,3026.652,1319.39,3941.03054099688,3524.89252659873,-0.110013931827646,36429.702401209,
37770.57,11999.98,3071.862,1339.334,3940.87074263295,3525.97782308526,-0.129716955260042,36348.5196759922,
37737.2,11999.98,3117.779,1359.615,3940.68820450447,3527.12661764818,-0.151404007814415,36267.5501158811,
37703.84,11999.98,3163.689,1379.899,3940.48522190561,3528.22497040835,-0.174761110146878,36185.8151082413,
37669.94,11999.98,3210.354,1400.542,3940.25693135604,3529.35702991848,-0.200234241606717,36103.5644755551,
37635.58,11999.98,3257.637,1421.481,3940.00294452903,3530.47563375913,-0.227823940780085,36020.0589619851,
37603.57,11999.98,3301.722,1440.938,3939.73223866344,3531.32521248555,-0.255079400553547,35938.1151158867,
37570.66,11999.98,3347.052,1460.98,3939.42595094574,3532.39178915251,-0.284741040481825,35858.8036642264,
37537.08,11999.98,3393.315,1481.463,3939.0900157354,3533.43961808087,-0.316718554282053,35777.4872573425,
37504.06,11999.98,3438.816,1501.597,3938.72689208163,3534.36492463022,-0.349811446538196,35695.6912433537,
37470.57,11999.98,3484.985,1522.049,3938.32993860697,3535.34807793229,-0.383403443416582,35614.2713284217,
37437.39,11999.99,3530.739,1542.313,3937.90437891061,3536.24542920981,-0.41669378863834,35532.4216816993,
37404.39,11999.98,3576.27,1562.478,3937.44811504123,3537.12188985673,-0.449821707477794,35451.1920365363,
37371.13,11999.98,3622.167,1582.82,3936.95980652038,3538.00981936607,-0.483219147345052,35369.9640746469,
37338.22,11999.98,3667.62,1602.96,3936.44268870248,3538.82391857822,-0.516293518861757,35288.6584503326,
37305.02,11999.98,3713.493,1623.302,3935.89305536936,3539.66345426167,-0.549676679691301,35207.5619951229,
37272.02,11999.98,3759.097,1643.522,3935.31420607375,3540.43835453,-0.582864393165336,35126.2096677452,
37238.64,11999.98,3805.269,1664.013,3934.70258202283,3541.2406240169,-0.616468884667383,35044.7739593093,
37205.4,11999.98,3851.27,1684.429,3934.06151308596,3541.97747954274,-0.649949324002491,34962.8540910749,
37172.46,11999.98,3896.887,1704.67,3933.39048648493,3542.67009904784,-0.683150426169859,34881.4089578413,
37139.25,11999.98,3942.922,1725.11,3932.68693073319,3543.38534563974,-0.716658533236013,34800.1135290729,
37103.52,11999.98,3992.436,1747.19,3931.94258849866,3544.29851999973,-0.752717275789009,34715.9703946521,
37072.97,11999.98,4034.861,1765.955,3931.19307424245,3544.51077069358,-0.783584608381615,34632.9557815727,
37040.07,11999.98,4080.562,1786.251,3930.39241930461,3545.28188291052,-0.816850858425723,34555.4500296636,
37007.46,11999.98,4125.891,1806.376,3929.56810015434,3545.83960143354,-0.849845803027974,34474.6465543796,
