xplane,yplane,xrocket,yrocket,vc,xnc,rtm,time
39999.99,12000,45.91786,19.75988,3944.0331233217,3448.5452988138,41761.2128088236,
39999.99,12000,91.83939,39.511,3944.08526573779,3446.96486411056,41711.5539084508,
39999.99,11999.99,147.006,63.47715,3944.13742959112,3445.38300521653,41661.8945785748,
39999.99,11999.99,183.3089,78.90172,3944.20230363474,3443.41462993183,41602.1705459787,
39999.99,11999.99,229.7596,98.8608,3944.24205008891,3442.2080696462,41562.9686182463,
39999.99,11999.99,275.3933,118.4399,3944.29494378765,3440.60170559136,41512.745219921,
39999.99,11999.99,321.2842,138.1249,3944.34675607283,3439.02740726246,41463.4143982142,
39999.99,11999.99,367.1077,157.769,3944.39892136014,3437.44160571294,41413.8075351086,
39999.99,11999.99,413.3896,177.6095,3944.45100665932,3435.85745647179,41364.2777498722,
39999.99,11999.99,459.5881,197.4017,3944.5037145348,3434.25357805661,41314.2533806493,
39999.99,11999.99,505.5539,217.0784,3944.55632106608,3432.65198615938,41264.3234071153,
39999.99,11999.99,551.3223,236.6557,3944.60862632728,3431.05877549901,41214.6504020778,
39999.99,11999.99,597.4056,256.3644,3944.66067803821,3429.47250399534,41165.1957269735,
39999.99,11999.99,643.1703,275.9192,3944.71316082703,3427.87230254022,41115.4023690462,
39999.99,11999.99,690.0973,295.9865,3944.76522767678,3426.2839952606,41065.9592662439,
39999.99,11999.99,736.1613,315.6546,3944.81886273187,3424.64702798934,41015.256666474,
39999.99,11999.99,782.0118,335.2162,3944.8713498966,3423.0442864778,40965.4959818864,
39999.99,11999.99,828.2119,354.9244,3944.92356181526,3421.44915534986,40915.970958003,
39999.99,11999.99,874.1986,374.5261,3944.97625172982,3419.83861647289,40866.0699295771,
39999.99,11999.99,919.5829,393.8473,3945.02866611289,3418.23569667162,40816.4045568542,
39999.99,11999.99,966.2579,413.7367,3945.08028594906,3416.65629165266,40767.3972829068,
39999.99,11999.99,1012.166,433.2715,3945.13364417679,3415.02287861111,40716.9918905729,
39999.99,11999.99,1058.492,452.9827,3945.18598415973,3413.41982656631,40667.4231671408,
39999.99,11999.99,1104.197,472.4058,3945.23889361184,3411.79851678603,40617.4051368165,
39999.99,11999.99,1151.005,492.3116,3945.29098320719,3410.20152716776,40568.0638701035,
39999.99,11999.99,1196.73,511.7223,3945.34456209836,3408.55804575589,40517.5296773735,
39999.99,11999.99,1243.553,531.613,3945.39669848444,3406.95800051064,40468.1746583056,
39999.99,11999.99,1289.481,551.093,3945.45031857087,3405.31158516982,40417.6320374071,
39999.99,11999.99,1335.447,570.5793,3945.50274682709,3403.70094445078,40368.0647018812,
39999.99,11999.99,1380.987,589.8652,3945.55523645241,3402.08760429543,40318.4598396862,
39999.99,11999.99,1427.147,609.4169,3945.60716594762,3400.49067775577,40269.3211978396,
39999.99,11999.99,1473.438,629.0161,3945.65993665167,3398.86706340245,40219.5133486369,
39999.99,11999.99,1520.585,648.9865,3945.71289277599,3397.23691292667,40169.5680161221,
39999.99,11999.99,1566.307,668.3109,3945.76701502184,3395.57000404016,40118.69625712,
39999.99,11999.99,1612.499,687.8339,3945.81922923276,3393.96103394184,40069.3755230758,
39999.99,11999.99,1658.073,707.071,3945.87208516514,3392.33146123553,40019.5481565393,
39999.99,11999.99,1703.99,726.4505,3945.9241210346,3390.72635642022,39970.3962543919,
39999.99,11999.99,1749.994,745.8581,3945.97662842876,3389.10588604311,39920.8749837268,
39999.99,11999.99,1797.585,765.9605,3946.02926346711,3387.48064759141,39871.2628799345,
39999.99,11999.99,1842.806,784.999,3946.08405249456,3385.78801666665,39819.9326856428,
