xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time,XNC (G)
40000,12000,0,0,3944.033109,3448.545742,0,41761.22604,0.0005025,107.0976938
40000,12000,0,0,3944.033109,3448.545742,0,41761.22604,0.0020037,107.0976938
39960,12000,55.14862,24.00874,3943.92854,3451.712876,0,41722.91427,0.0110097,107.1960521
39950.45,12000,68.38625,29.49776,3943.968536,3450.501879,0,41654.0454,0.0156524,107.1584434
39916.45,12000,115.307,49.74112,3943.892551,3452.802203,0,41607.22822,0.0324999,107.2298821
39882.66,12000,161.9449,69.8631,3943.857463,3453.863862,0,41524.10405,0.0494356,107.2628529
39849.34,12000,207.9302,89.69555,3943.823154,3454.901635,0,41441.739,0.0661968,107.2950818
39816.39,12000,253.4203,109.3101,3943.788831,3455.939517,0,41360.4275,0.0827416,107.3273142
39781.71,12000,301.262,130.0025,3943.749192,3457.137705,0,41278.00802,0.100064,107.364525
39747.76,12000,348.106,150.2472,3943.714589,3458.183305,0,41193.72198,0.1172726,107.396997
39715.24,12000,392.9819,169.6041,3943.682357,3459.156983,0,41111.89424,0.1331251,107.4272355
39681.62,12000,439.3628,189.6523,3943.644415,3460.302755,0,41031.15229,0.1499413,107.4628185
39648.9,12000,484.5128,209.1476,3943.610837,3461.316389,0,40949.62951,0.1665248,107.4942978
39614.24,12000,532.3184,229.8607,3943.570279,3462.540348,0,40867.58958,0.1836667,107.532309
39580.46,12000,578.9243,250.0334,3943.535632,3463.585534,0,40783.49175,0.20051,107.5647681
39548.16,12000,623.4783,269.2789,3943.503272,3464.56142,0,40702.13055,0.2167749,107.5950751
39513.61,12000,671.1263,289.9425,3943.461872,3465.80951,0,40620.83693,0.2340035,107.6338357
39481.03,12000,716.077,309.3825,3943.430008,3466.769792,0,40538.05646,0.2502637,107.6636581
39446.57,12000,763.5957,330.0021,3943.389192,3467.999465,0,40456.41527,0.2674359,107.7018468
39413.12,12000,809.7334,349.9977,3943.354606,3469.041049,0,40372.9394,0.2846189,107.7341941
39380.77,12000,854.3555,369.3093,3943.321009,3470.052534,0,40292.02087,0.3005367,107.7656067
39346.77,12000,901.236,389.6592,3943.280686,3471.266138,0,40211.17373,0.3174784,107.8032962
