xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time
40000,12000,0,0,3944.03310871154,3448.54574153893,0,41761.2260356422,0
40000,12000,0,0,3944.03310871154,3448.54574153893,0,41761.2260356422,0.0020057
39960,12000,55.14862,24.00874,3943.9285403419,3451.71287641364,0,41722.9142742584,0.0320861
39928.74,12000,98.31887,42.55066,3943.9115827866,3452.22618934477,0,41633.249400018,0.0481301
39881.87,12000,162.8538,70.97281,3943.83709042512,3454.48014240084,0,41541.6800377696,0.0711897
39862.3,12000,189.9206,82.38993,3943.86471582046,3453.64445008477,0,41452.9615337081,0.0807155
39829.55,12000,235.1242,101.871,3943.80703956401,3455.3889620936,0,41392.3885605199,0.0977617
39795.6,12000,281.9744,122.1075,3943.76897473571,3456.53977960987,0,41310.9743231008,0.1142314
39762.63,12000,327.4762,141.7379,3943.73565827722,3457.54670352144,0,41228.7070069422,0.1309751
39729.95,12000,372.5823,161.1955,3943.7011892121,3458.58813317448,0,41148.1805716176,0.1472925
39696.52,12000,418.7029,181.1213,3943.66411662827,3459.70785043811,0,41067.3731240895,0.1634969
39663.84,12000,463.7995,200.5884,3943.63032849133,3460.7280292775,0,40986.1725753519,0.1801263
39630.36,12000,509.9759,220.5539,3943.59293411113,3461.85671852799,0,40905.3284734119,0.1970816
39597.16,12000,555.7778,240.3559,3943.55765647609,3462.92115701899,0,40823.5669928956,0.2133802
39564.07,12000,601.4285,260.0963,3943.52207073965,3463.99453793078,0,40742.3168848572,0.230231
39531.12,12000,646.8861,279.7557,3943.48655896216,3465.06533392012,0,40661.3610994749,0.2460787
39497.48,12000,693.2828,299.8505,3943.44882725437,3466.20268084822,0,40579.9566359341,0.2636757
39464.04,12000,739.4033,319.8266,3943.4128504314,3467.2867590937,0,40497.7204860469,0.2804241
39431.62,12000,784.1348,339.1768,3943.37915295749,3468.30182609964,0,40416.7505546951,0.296238
39397.98,12000,830.5144,359.2857,3943.34015029774,3469.47630474807,0,40336.1402989791,0.3132932
39365.23,12000,875.6868,378.8509,3943.30575846888,3470.51158611308,0,40254.5748440574,0.3294899
39331.98,12000,921.535,398.7316,3943.26821960464,3471.64122469492,0,40173.8464908653,0.3455496
39298.63,12000,967.5338,418.6884,3943.23122972177,3472.75395898035,0,40092.2751169899,0.362624
39265.63,12000,1013.031,438.4232,3943.19536126365,3473.83259469539,0,40010.8855426351,0.3793885
39232.36,12000,1058.898,458.3345,3943.15793897021,3474.95757594706,0,39929.7810568645,0.3960537
39199.24,12000,1104.568,478.1628,3943.12134351472,3476.05732467681,0,39848.4085279797,0.4126195
39166.08,12000,1150.281,498.0185,3943.08427915598,3477.17078575396,0,39767.2177008774,0.4289335
39132.84,12000,1196.104,517.9318,3943.04695171836,3478.29176504327,0,39685.8981294216,0.4455142
39099.48,12000,1242.085,537.9246,3943.00935056392,3479.42057405516,0,39604.3434358783,0.4624396
39066.67,12000,1287.315,557.5811,3942.97341233376,3480.49909535707,0,39523.1380902758,0.4786688
39033.35,12000,1333.237,577.5617,3942.93487685057,3481.65516454242,0,39442.2643540496,0.4957499
39000.21,12000,1378.907,597.4344,3942.89775325254,3482.76848906286,0,39360.8102005915,0.5122218
38967.23,12000,1424.363,617.2164,3942.86060163292,3483.88227318214,0,39279.7745124736,0.528462
38933.71,12000,1470.548,637.3403,3942.8215265014,3485.05331248383,0,39198.45945472,0.5451242
38901.08,12000,1515.526,656.9177,3942.78591949024,3486.12004976271,0,39117.191944257,0.5617728
38867.82,12000,1561.352,676.8921,3942.74668545457,3487.29504374306,0,39036.643258793,0.578452
38834.2,12000,1607.669,697.0994,3942.70755440999,3488.46653182879,0,38954.8224148811,0.5952119
38801.53,12000,1652.686,716.7169,3942.67175562557,3489.53789184116,0,38873.3702668605,0.611296
38768.27,12000,1698.516,736.7156,3942.63224029347,3490.72006974289,0,38792.7651892628,0.6278899
38734.87,12000,1744.518,756.8007,3942.59344663875,3491.88024094061,0,38711.1481208079,0.6443891
38702.04,12000,1789.742,776.5361,3942.55644646387,3492.98639200987,0,38629.8854182509,0.6608921
38668.88,12000,1835.419,796.4873,3942.51723274049,3494.15831019128,0,38549.1502026438,0.6776111
38635.22,12000,1881.771,816.7569,3942.47713788625,3495.35612684093,0,38467.4434079844,0.6945958
38602.38,12000,1927.015,836.5236,3942.44030277938,3496.45617312186,0,38385.772524873,0.7110711
38568.9,12000,1973.114,856.692,3942.39988122655,3497.66289943884,0,38304.7107059478,0.7278873
38535.77,12000,2018.742,876.6511,3942.36163554144,3498.80425853494,0,38223.0406578271,0.7442201
38503,12000,2063.869,896.3874,3942.32364806628,3499.93751780041,0,38142.229955918,0.7608981
38469.73,12000,2109.674,916.4432,3942.28333896693,3501.13960769548,0,38061.487257906,0.7770875
38436.81,12000,2155.005,936.2886,3942.24496302209,3502.28363730714,0,37980.3341332559,0.7938009
38403.76,12000,2200.502,956.218,3942.20540516255,3503.46248280032,0,37899.5787675018,0.810414
