xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time
40000,12000,0,0,3944.03310871154,3448.54574153893,0,41761.2260356422,0
40000,12000,0,0,3944.03310871154,3448.54574153893,0,41761.2260356422,0.0024989
39960,12000,55.14862,24.00874,3943.9285403419,3451.71287641364,0,41722.9142742584,0.0110035
39935.54,12000,88.96072,38.37333,3943.92944219192,3451.68557471975,0,41639.7672299254,0.0225679
39902.1,12000,135.1223,58.27471,3943.87839037969,3453.23070282782,0,41571.2216292422,0.0398038
39868.69,12000,181.2311,78.15923,3943.84325543272,3454.29366425493,0,41489.2913339183,0.056519
39835.72,12000,226.7413,97.77888,3943.80910754084,3455.32642903379,0,41407.8317026297,0.0728567
39802.25,12000,272.9284,117.7131,3943.77275693048,3456.42545047044,0,41326.548557334,0.089799
39768.57,12000,319.4019,137.7848,3943.73667177274,3457.51607724708,0,41244.3252916133,0.1059837
39735.3,12000,365.311,157.6068,3943.70197488558,3458.56439899168,0,41162.180210732,0.123154
39702.1,12000,411.116,177.3886,3943.66661716687,3459.63233789856,0,41080.7179002553,0.1397907
39668.96,12000,456.8378,197.1396,3943.63119238207,3460.70194947741,0,40999.4256620708,0.1564893
39635.78,12000,502.6281,216.9289,3943.59542571116,3461.78152580959,0,40918.1727240779,0.1725816
39602.29,12000,548.8343,236.9147,3943.55884137985,3462.88541037501,0,40836.5513477547,0.1893423
39568.68,12000,595.1945,256.9781,3943.52242381248,3463.98388985738,0,40754.364301871,0.2059638
39535.43,12000,641.0592,276.8228,3943.48710107928,3465.04898997667,0,40672.3525469268,0.223181
39502.43,12000,686.5762,296.5162,3943.45168969368,3466.11641231128,0,40591.1213175389,0.2393058
39469.31,12000,732.2657,316.2953,3943.41535889786,3467.21118401046,0,40510.1441690048,0.2559028
39435.87,12000,778.3821,336.2764,3943.37831793958,3468.3269752644,0,40428.6766147037,0.2726104
39402.48,12000,824.4249,356.2313,3943.34191938169,3469.42304190325,0,40346.7921133397,0.2892894
39369.17,12000,870.3649,376.1464,3943.3055255083,3470.51859769286,0,40265.0560773667,0.3060573
39335.6,12000,916.6569,396.2298,3943.26818071718,3471.64239471229,0,40183.1820576957,0.3230679
39302.09,12000,962.8569,416.2786,3943.23142031772,3472.74822642557,0,40100.9869929766,0.339626
39268.82,12000,1008.741,436.1904,3943.19506779378,3473.84141844055,0,40019.1093679822,0.3563881
39235.34,12000,1054.896,456.2331,3943.15761656567,3474.9672663145,0,39937.3811217475,0.3731657
39202.46,12000,1100.229,475.9073,3943.12211402872,3476.03417339933,0,39855.9293477723,0.3896328
39168.48,12000,1147.064,496.2767,3943.08229147755,3477.23048740811,0,39774.319828267,0.4063971
39135.45,12000,1192.598,516.0577,3943.0471609874,3478.2854815666,0,39691.9796238541,0.423181
39102.17,12000,1238.472,536.0016,3943.0093751892,3479.41983491765,0,39610.8159921565,0.4396414
39068.83,12000,1284.433,555.9931,3942.97178894022,3480.54780564257,0,39529.2161278172,0.4561567
39034.81,12000,1331.304,576.4094,3942.93235649353,3481.73076126409,0,39446.8820929985,0.473497
39002.39,12000,1376.001,595.8368,3942.89861734303,3482.74257959726,0,39365.0738693044,0.4896826
38968.7,12000,1422.424,616.0626,3942.85807324083,3483.95805908367,0,39284.4239655514,0.5060881
38935.77,12000,1467.81,635.8202,3942.82205925516,3485.03734926025,0,39202.6125246741,0.522884
38902.41,12000,1513.769,655.8476,3942.78325364084,3486.19990091717,0,39121.5292872175,0.5397086
38869.3,12000,1559.403,675.7338,3942.74584914454,3487.32008522712,0,39040.0458002948,0.5561087
38834.88,12000,1606.804,696.4407,3942.70416734662,3488.5679124693,0,38957.675751591,0.5733393
38802.23,12000,1651.8,716.0491,3942.67001366065,3489.5900151282,0,38875.0552522216,0.5897189
38768.87,12000,1697.761,736.1081,3942.63019645959,3490.78120335853,0,38794.3820804134,0.6059161
38735.75,12000,1743.387,756.0212,3942.59238868664,3491.91187450488,0,38712.885478989,0.6230739
38702.5,12000,1789.188,776.0217,3942.55361642577,3493.07098293578,0,38631.6284293667,0.6394634
38668.85,12000,1835.529,796.2789,3942.51384557581,3494.25951727236,0,38549.8011113762,0.6565096
38635.72,12000,1881.161,816.2173,3942.47627435715,3495.3819195746,0,38467.8754464137,0.6726733
38602.41,12000,1927.042,836.2781,3942.43701071276,3496.55446961663,0,38386.5458273571,0.6893363
38569.13,12000,1972.863,856.3188,3942.39812976869,3497.71517658479,0,38304.9808373841,0.7060122
38535.86,12000,2018.676,876.3638,3942.35906311577,3498.88101267659,0,38223.4825274882,0.7229095
38502.43,12000,2064.713,896.5195,3942.31939460618,3500.06438447997,0,38141.8330571252,0.7393404
38468.95,12000,2110.811,916.7115,3942.27982014962,3501.24452420806,0,38059.8944791515,0.7559994
38435.05,12000,2157.47,937.1703,3942.23901197816,3502.46100874398,0,37977.4923982983,0.7733629
38402.48,12000,2202.322,956.8032,3942.20285852057,3503.53835956222,0,37895.7382535228,0.7892946
38369,12000,2248.413,977.0156,3942.16116383672,3504.7803955852,0,37815.0861533528,0.8060089
38335.39,12000,2294.681,997.3176,3942.12084901882,3505.98087934972,0,37732.9547872335,0.8232029
38302.14,12000,2340.444,1017.394,3942.08179076195,3507.14352624578,0,37650.9789845949,0.8397543
38269.19,12000,2385.804,1037.292,3942.0427304888,3508.30582084858,0,37569.8320816525,0.8561455
38235.91,12000,2431.606,1057.402,3942.00196137874,3509.51852502006,0,37488.8110524272,0.8725858
38202.59,12000,2477.466,1077.547,3941.9616317375,3510.71771584439,0,37407.2653929958,0.8893269
38169.23,12000,2523.369,1097.72,3941.92117944707,3511.92011339355,0,37325.6222006075,0.9059105
38135.93,12000,2569.198,1117.867,3941.88084061977,3513.11869980185,0,37243.9791709567,0.9227047
38102.45,12000,2615.26,1138.13,3941.83974379083,3514.33935876928,0,37162.2496016044,0.9394877
38068.95,12000,2661.353,1158.415,3941.79882350336,3515.55432337682,0,37080.2394348813,0.9560092
38035.59,12000,2707.248,1178.616,3941.75827562384,3516.75778764629,0,36998.33163356,0.9727592
38002.37,12000,2752.947,1198.735,3941.7177364539,3517.96055286635,0,36916.7710717422,0.9896618
37968.87,12000,2799.027,1219.038,3941.67590910417,3519.20107612495,0,36835.155109299,1.00602
37935.66,12000,2844.704,1239.163,3941.63547279791,3520.39989867604,0,36753.4007890429,1.0231605
37902.24,12000,2890.683,1259.436,3941.59359387517,3521.64103017939,0,36671.871670444,1.039524
37868.85,12000,2936.601,1279.688,3941.55221011412,3522.86702710417,0,36590.0515512344,1.0565253
37835.51,12000,2982.454,1299.919,3941.51074478128,3524.09498258707,0,36508.3374363815,1.0731949
37802.16,12000,3028.307,1320.158,3941.46906015086,3525.32897073182,0,36426.6911547431,1.0897361
37767.79,12000,3075.557,1341.056,3941.42404075658,3526.66115843178,0,36344.0633100029,1.1069591
37735.66,12000,3119.754,1360.542,3941.38817618102,3527.72205653355,0,36262.0425759054,1.1226935
37702.68,12000,3165.101,1380.571,3941.34462188027,3529.00996260776,0,36182.5468687189,1.1391816
37667.58,12000,3213.338,1401.956,3941.29967124897,3530.44761363747,-0.000277176683862769,36099.7692251026,1.1572943
37635.41,12000,3257.579,1421.486,3941.27487037885,3531.48092015859,-0.000764167363360792,36016.6244319627,1.1732224
37602.52,12000,3302.791,1441.474,3941.25075721852,3532.78515081305,-0.00150529938992728,35937.1667978501,1.1897229
37568.86,12000,3349.064,1461.964,3941.2387030411,3534.13164429791,-0.00251900412989446,35855.8992665161,1.2060803
37535.63,12000,3394.74,1482.182,3941.24579105554,3535.40384453702,-0.00376805472743366,35773.8869119784,1.2230217
37502.34,12000,3440.484,1502.437,3941.27098211048,3536.73110936621,-0.00526823817649417,35692.4761336401,1.2397614
37467.98,12000,3487.694,1523.381,3941.31611248135,3538.18233038243,-0.00708248336297268,35609.9639163066,1.2566324
37435.71,11999.99,3532.064,1543.003,3941.39529139668,3539.38859551817,-0.00902133378865467,35527.8307152014,1.272904
37402.21,11999.97,3578.105,1563.406,3941.49498449873,3540.87674354841,-0.0112862680326514,35447.6416994394,1.2897009
37368.43,11999.97,3624.536,1583.991,3941.62874690005,3542.35215089553,-0.0138272926501069,35365.3479228543,1.3062219
37335.53,11999.95,3669.803,1604.032,3941.80084214631,3543.75563038339,-0.01654834660242,35283.4703604251,1.3234043
37302.06,11999.95,3715.802,1624.412,3942.00731743975,3545.3161627595,-0.0195656156729878,35202.3261032971,1.3399053
37269.15,11999.94,3761.055,1644.439,3942.25741925332,3546.82930511839,-0.022777443084687,35120.9162981552,1.3561953
37235.47,11999.93,3807.385,1664.962,3942.54833679733,3548.50130710852,-0.0263217394915844,35039.5917162522,1.3732786
37202.27,11999.93,3853.037,1685.159,3942.88919933284,3550.12627999972,-0.0300617488154371,34957.5384915981,1.389901
37168.75,11999.93,3899.114,1705.543,3943.27781143488,3551.86974666694,-0.0340892203991118,34875.9360241632,1.4061825
37135.75,11999.92,3944.488,1725.587,3943.72054048902,3553.59639724623,-0.0382995382320763,34794.366997269,1.4231859
37098.46,11999.9,3995.711,1748.353,3944.21017797082,3555.8430533828,-0.0433687847900652,34709.4763130399,1.4414116
37068.77,11999.89,4036.574,1766.276,3944.7845030183,3557.11090693448,-0.0476044754437724,34625.4428325037,1.4565726
37035.39,11999.88,4082.5,1786.519,3945.38954032433,3559.31757295674,-0.0526130095995584,34549.2120840382,1.4733592
37002.54,11999.86,4127.7,1806.401,3946.06166956086,3561.29231161597,-0.0575409551091114,34467.9721638482,1.489393
36969.21,11999.85,4173.553,1826.558,3946.78813752608,3563.41832240193,-0.0625395829729358,34387.0832360046,1.5060533
36935.77,11999.83,4219.586,1846.769,3947.57141055138,3565.58842212978,-0.0675568186618009,34305.366222645,1.5227564
36902.4,11999.82,4265.521,1866.901,3948.40974485257,3567.80938591549,-0.0725620062030474,34223.5384261784,1.5398188
36868.96,11999.79,4311.571,1887.049,3949.30099708476,3570.10678811283,-0.0775784383467952,34141.7562000547,1.5565661
36835.57,11999.77,4357.553,1907.128,3950.24410108708,3572.46091699963,-0.0825859012953559,34059.9165705188,1.5732576
36802.02,11999.73,4403.802,1927.288,3951.2370335173,3574.8934617743,-0.0876210748158017,33977.9959243271,1.5899376
36768.88,11999.71,4449.495,1947.147,3952.2790218247,3577.34632111119,-0.0925935986391822,33896.1890894368,1.6062547
36735.62,11999.69,4495.353,1967.036,3953.36591820604,3579.89951710974,-0.0975824543214956,33814.8994869133,1.6232479
36701.96,11999.66,4541.785,1987.135,3954.49654320852,3582.55071914584,-0.102632219617776,33733.0532083021,1.6404053
36669.2,11999.62,4587,2006.628,3955.67190517778,3585.14071855686,-0.107546912220828,33651.4552003123,1.6562785
36635.64,11999.58,4633.314,2026.565,3956.88347420304,3587.93038677446,-0.112579676223508,33570.4369742017,1.6732324
36602.35,11999.54,4679.257,2046.275,3958.13463488165,3590.70756590906,-0.117569736664704,33488.4963099387,1.6901141
36569.19,11999.51,4725.071,2065.865,3959.42050963877,3593.54931882328,-0.122543331136517,33407.1092169774,1.7059926
36532.03,11999.48,4776.415,2087.896,3960.73353688046,3596.87589721419,-0.128119063650779,33322.0526333279,1.7251299
36501.88,11999.44,4818.138,2105.53,3962.09843856941,3599.27012393327,-0.132641523418538,33237.6873866103,1.7397612
36468.7,11999.39,4864.051,2124.964,3963.46979762466,3602.47161989553,-0.13761846450489,33160.9227396104,1.7567468
36435.55,11999.35,4909.962,2144.325,3964.87026948641,3605.54274171752,-0.142592594300918,33079.6434024291,1.7731778
36402.31,11999.29,4956.005,2163.669,3966.29189660259,3608.67169086202,-0.147578371030799,32998.3109636717,1.789884
36368.96,11999.24,5002.239,2183.02,3967.73160057375,3611.86483592863,-0.152582085592262,32916.7452568734,1.8061534
36335.55,11999.2,5048.575,2202.335,3969.1866467667,3615.1060384427,-0.157593966362588,32834.9429950353,1.8232694
36302.17,11999.14,5094.9,2221.561,3970.65385825138,3618.38635376802,-0.162601563421599,32753.0844221721,1.8399381
36268.49,11999.06,5141.669,2240.895,3972.12935509467,3621.74126579973,-0.167654274118654,32670.9668083899,1.8566096
36235.45,11999,5187.578,2259.764,3973.61121842455,3625.06000439222,-0.172610331972651,32589.0172420715,1.8732592
36202.11,11998.94,5233.942,2278.739,3975.09284192229,3628.48943333358,-0.177612574113123,32507.7314538812,1.8899061
36168.64,11998.87,5280.509,2297.706,3976.57227635736,3631.95623630593,-0.182633289968185,32425.8615349607,1.9064995
36135.88,11998.79,5326.134,2316.171,3978.04654808264,3635.37219610592,-0.187548517895452,32344.477106318,1.9231089
36102.65,11998.71,5372.537,2334.87,3979.50871455154,3638.91167093869,-0.192544468579403,32263.6879737399,1.9397322
36068.59,11998.61,5420.024,2353.927,3980.95631779426,3642.54232126873,-0.197654340503327,32181.2961031682,1.9565148
36035.63,11998.52,5466.036,2372.251,3982.38793127843,3646.04736493016,-0.202600626175813,32098.804655499,1.9732969
36002.41,11998.43,5512.435,2390.631,3983.79499990621,3649.6646911002,-0.207585064036361,32017.7060431627,1.989926
35968.94,11998.34,5559.217,2409.06,3985.17468384375,3653.3248873064,-0.212607118760757,31935.9763492249,2.006157
35936.04,11998.23,5605.242,2427.061,3986.52354234542,3656.92448185196,-0.217543498141281,31854.4083947272,2.0227714
35902.03,11998.13,5652.842,2445.597,3987.83419558299,3660.69889260192,-0.222645873849801,31772.6383244892,2.0398877
35866.23,11998.02,5702.97,2465.054,3989.1038109646,3664.63774374884,-0.228016788413338,31687.4959262486,2.0581361
35835.84,11997.91,5745.604,2481.328,3990.33452863413,3667.89495344635,-0.232576061779223,31604.8323609587,2.0732521
35801.18,11997.8,5794.229,2499.908,3991.50537858626,3671.89030029448,-0.237776160979233,31526.1964286485,2.0904465
35768.51,11997.68,5840.125,2517.256,3992.6248998999,3675.48096335223,-0.24267827011045,31443.0474592194,2.1066128
35735.99,11997.55,5885.847,2534.407,3993.68176893831,3679.13382353791,-0.247557621815763,31363.0168809597,2.1231977
35702.3,11997.4,5933.347,2552.134,3994.67092563024,3682.92673936982,-0.252623451308868,31282.0881481329,2.1397969
35668.97,11997.26,5980.283,2569.502,3995.589169095,3686.62099420431,-0.257624355138801,31199.6434335798,2.1566321
35635.22,11997.12,6027.854,2586.981,3996.42962752418,3690.37976709095,-0.262688845762573,31117.4456977891,2.1734388
35602.32,11996.98,6074.282,2603.874,3997.18779941915,3694.0132342451,-0.267626295791529,31035.4161277978,2.1900607
35569.27,11996.84,6120.943,2620.717,3997.85683921124,3697.67798272021,-0.272584227839075,30954.5212394085,2.2060874
35535.78,11996.68,6168.288,2637.676,3998.43131160128,3701.36736580228,-0.277610700385235,30872.9904305714,2.2230221
35502.75,11996.53,6215.008,2654.25,3998.90579401729,3704.96309923957,-0.282565821142457,30791.2186870184,2.2398516
35469.54,11996.37,6262.034,2670.791,3999.27390039601,3708.56655552049,-0.287548920133672,30709.9818525367,2.2562446
35435.94,11996.2,6309.656,2687.402,3999.52975967494,3712.17635542799,-0.292590787441991,30628.091801009,2.2732726
35402.69,11996.03,6356.83,2703.691,3999.66737288213,3715.69701764437,-0.29758017844852,30545.9525442849,2.2898856
35368.41,11995.84,6405.492,2720.369,3999.68041680196,3719.30693859381,-0.302723249973319,30463.3578483217,2.3066164
35335.88,11995.66,6451.761,2736.015,3999.56248359718,3722.63824901331,-0.307607018941603,30380.8826779856,2.3231272
35302.76,11995.47,6498.878,2751.807,3999.30737607024,3726.02518830069,-0.312576062039993,30300.4545347857,2.3398335
35269.16,11995.27,6546.721,2767.694,3998.90872470663,3729.40014914482,-0.317617259913645,30218.7189913305,2.356608
35236,11995.05,6594.013,2783.219,3998.35972166639,3732.64812889064,-0.322595138096772,30136.6681058538,2.3732804
35199.08,11994.82,6646.657,2800.454,3997.65542796796,3736.29341170587,-0.328135395602844,30051.6810293032,2.3917573
35169.07,11994.63,6689.553,2814.138,3996.78338804483,3738.97863217127,-0.332638979883454,29967.6638264803,2.4061088
35136.02,11994.41,6736.819,2829.144,3995.74422507443,3742.04430530629,-0.337599723221324,29891.1102602534,2.4232533
35102.68,11994.18,6784.522,2844.124,3994.52837100259,3745.02822164619,-0.342601564148031,29809.7301134714,2.4399377
35069.65,11993.94,6831.856,2858.804,3993.12880748522,3747.88281357703,-0.347559629747234,29728.2320546544,2.4565507
35035.8,11993.69,6880.412,2873.71,3991.53980377894,3750.74785326399,-0.352641791099272,29646.3941053122,2.4733208
35001.5,11993.44,6929.64,2888.651,3989.75376620039,3753.56596553739,-0.35778954754915,29562.8996506605,2.4904559
34969.81,11993.2,6975.192,2902.222,3987.76071111277,3755.96031849512,-0.362545874708853,29481.2449659876,2.5059948
34936.03,11992.92,7023.775,2916.578,3985.559960443,3758.49450313369,-0.367615854361616,29401.5128524305,2.5232205
34902.74,11992.64,7071.691,2930.536,3983.14080977391,3760.85923348525,-0.37261100150045,29319.1349001171,2.5396729
34869.99,11992.37,7118.892,2944.083,3980.49651218394,3763.03397744234,-0.377526229427717,29238.0256179493,2.5560351
34836.13,11992.08,7167.74,2957.948,3977.62272451321,3765.21457078067,-0.38260932787653,29156.6678623208,2.5732335
34803.13,11991.77,7215.431,2971.267,3974.5090993008,3767.1597765298,-0.387566456937752,29074.4741965772,2.5898506
34769.9,11991.48,7263.463,2984.497,3971.15105601498,3768.99133969082,-0.392554643185399,28993.324402551,2.6061298
34736.15,11991.16,7312.274,2997.762,3967.5420921561,3770.74104127831,-0.397619402030073,28911.3924995108,2.6233153
34702.96,11990.84,7360.337,3010.61,3963.67322443773,3772.27489914758,-0.402601430372856,28829.2378660971,2.6396463
34669.29,11990.51,7409.133,3023.471,3959.53983777497,3773.70324635611,-0.407655211718343,28747.4785067672,2.6568291
34636.34,11990.18,7456.948,3035.854,3955.13291692571,3774.88794672961,-0.412602166825495,28665.7042253353,2.6733235
34602.87,11989.84,7505.545,3048.255,3950.44834916969,3775.94625485547,-0.417625961632989,28584.5244041004,2.6901002
34569.82,11989.5,7553.59,3060.303,3945.47806903068,3776.79190467203,-0.422587909729741,28502.992188052,2.7061555
34534.87,11989.11,7604.399,3072.897,3940.22013649336,3777.67328955771,-0.427832586684785,28420.2939470828,2.723776
